,raw,char,line
0,Sequel Script: Part 1,Sequel Script,Part 1
1,SCENE:  Beach front ,SCENE, Beach front 
2,"ANNE:  ""Where is sleep?""  ""Over the mountains of the moon.  Down the valley of the shadow.  Beneath the waves of the deep gulf stream,"" replied the handsome duke in dark languid tones. [she sits to write]  In dark languid tones.  In dark foreboding, foreboding tones.  He fervently stroked her alabaster brow.  She fell under his cloak of darkness.",ANNE," ""Where is sleep?""  ""Over the mountains of the moon.  Down the valley of the shadow.  Beneath the waves of the deep gulf stream,"" replied the handsome duke in dark languid tones. [she sits to write]  In dark languid tones.  In dark foreboding, foreboding tones.  He fervently stroked her alabaster brow.  She fell under his cloak of darkness."
3,        SCENE:  Outside the White Sands Hotel,        SCENE, Outside the White Sands Hotel
4,"MORGAN HARRIS:  Here's your tea, my dear.",MORGAN HARRIS," Here's your tea, my dear."
5,"ELVIRA EVANS: Morgan, look.  Do you think she needs help?",ELVIRA EVANS,"Morgan, look.  Do you think she needs help?"
6,        SCENE:  Beach front,        SCENE, Beach front
7,MORGAN HARRIS:  Are you a journalist?,MORGAN HARRIS, Are you a journalist?
8,"ANNE:  No, a teacher.  No, I'm a writer.  Actually, I write books.",ANNE," No, a teacher.  No, I'm a writer.  Actually, I write books."
9,MORGAN HARRIS:  Oh.  Books,MORGAN HARRIS, Oh.  Books
10,ANNE:  Books.,ANNE, Books.
11,MORGAN HARRIS:  I hope nothing's spoiled or missing.,MORGAN HARRIS, I hope nothing's spoiled or missing.
12,ANNE:  It doesn't matter.  I keep it all filed away in my imagination anyway.,ANNE, It doesn't matter.  I keep it all filed away in my imagination anyway.
13,"ELVIRA EVANS:  Morgan! Morgan, we'll be late for our luncheon.",ELVIRA EVANS," Morgan! Morgan, we'll be late for our luncheon."
14,ANNE:  Thank you.,ANNE, Thank you.
15,MORGAN HARRIS:  Excuse me.,MORGAN HARRIS, Excuse me.
16,        SCENE:  The schoolhouse,        SCENE, The schoolhouse
17,"STUDENTS: No more pencils, no more books, no more teacher's dirty looks.  When the teacher rings the bell . . .",STUDENTS,"No more pencils, no more books, no more teacher's dirty looks.  When the teacher rings the bell . . ."
18,"ANNE:  Bye, Barbara Shaw.  Don't forget your lunch pail.",ANNE," Bye, Barbara Shaw.  Don't forget your lunch pail."
19,GIRL 1: Bye Miss Shirley!,GIRL 1,Bye Miss Shirley!
20,"ANNE:  Bye!  Bye, Jacob.  Good luck with your job at the smithy.",ANNE," Bye!  Bye, Jacob.  Good luck with your job at the smithy."
21,"BOY: Bye, Miss Shirley.",BOY,"Bye, Miss Shirley."
22,"STUDENTS: Good-bye, Miss Shirley.  Good-bye, Miss Shirley.",STUDENTS,"Good-bye, Miss Shirley.  Good-bye, Miss Shirley."
23,ANNE:  Bye.  Bye.,ANNE, Bye.  Bye.
24,"MINNIE MAY BARRY:  Good-bye, Miss Shirley.",MINNIE MAY BARRY," Good-bye, Miss Shirley."
25,"ANNE:  Good-bye, Minnie May.",ANNE," Good-bye, Minnie May."
26,"GIRL 2: Bye, Miss Shirley!",GIRL 2,"Bye, Miss Shirley!"
27,        SCENE:  Out house,        SCENE, Out house
28,TOMMY BELL: Is that how you smoke it?,TOMMY BELL,Is that how you smoke it?
29,ANTHONY PYE:  Don't you know anything? You've got to lick it to make the paper stick. [to Minnie May] What do you want?,ANTHONY PYE, Don't you know anything? You've got to lick it to make the paper stick. [to Minnie May] What do you want?
30,MINNIE MAY BARRY:  My mama says smoking makes your mouth brown and your ears stick out.,MINNIE MAY BARRY, My mama says smoking makes your mouth brown and your ears stick out.
31,"ANTHONY PYE:  Well, your mother's an old windbag.",ANTHONY PYE," Well, your mother's an old windbag."
32,"MINNIE MAY BARRY:  No, she is not.  And I'm gonna tell Miss Shirley  you two been smoking.",MINNIE MAY BARRY," No, she is not.  And I'm gonna tell Miss Shirley  you two been smoking."
33,ANTHONY PYE:   You do and I'll lock you up and sic my dog on you.,ANTHONY PYE,  You do and I'll lock you up and sic my dog on you.
34,"MINNIE MAY BARRY:  Will not.  You can't catch me! [they grab her, screaming] Help!",MINNIE MAY BARRY," Will not.  You can't catch me! [they grab her, screaming] Help!"
