,raw,char,line
0,Script: Part 1,Script,Part 1
1,"SCENE: Prince Edward Island seaport, summer 1915 ",SCENE,"Prince Edward Island seaport, summer 1915 "
2,"DIANA: Oh, Anne! Oh, hello! Oh, my gosh. Oh, look at you.  Oh, you haven’t changed a bit.",DIANA,"Oh, Anne! Oh, hello! Oh, my gosh. Oh, look at you.  Oh, you haven’t changed a bit."
3,"ANNE: Neither have you.  Oh, I’ve been aching to see you!",ANNE,"Neither have you.  Oh, I’ve been aching to see you!"
4,DIANA: I know.,DIANA,I know.
5,"ANNE: [to Alan] Oh, no. Thank you for your help.  Alan?  Seems like a hundred years since you sat behind us in school pulling our pigtails.",ANNE,"[to Alan] Oh, no. Thank you for your help.  Alan?  Seems like a hundred years since you sat behind us in school pulling our pigtails."
6,"DIANA’S DRIVER: Oh gosh, Anne.  Don’t remind me.",DIANA’S DRIVER,"Oh gosh, Anne.  Don’t remind me."
7,"ANNE: [to Diana] Why is Alan?  Well, why?",ANNE,"[to Diana] Why is Alan?  Well, why?"
8,"DIANA: He’s well paid, Anne.  I insisted Fred hire a driver, because we have so many guests coming and going.",DIANA,"He’s well paid, Anne.  I insisted Fred hire a driver, because we have so many guests coming and going."
9,"ANNE: Spend your money on your family, Diana, not on me.",ANNE,"Spend your money on your family, Diana, not on me."
10,"DIANA: You’re family, Anne.  Besides, I have to spend the inheritance Aunt Jo left me somehow.",DIANA,"You’re family, Anne.  Besides, I have to spend the inheritance Aunt Jo left me somehow."
11,ANNE: [to Alan] Thank you.,ANNE,[to Alan] Thank you.
12,DIANA’S DRIVER: You’re welcome.,DIANA’S DRIVER,You’re welcome.
13,ANNE: It’s strange seeing so many young men in uniform.  Look. That’s Charlie Sloan and Will Bell.  It’s like they’re running off to a Sunday school picnic.,ANNE,It’s strange seeing so many young men in uniform.  Look. That’s Charlie Sloan and Will Bell.  It’s like they’re running off to a Sunday school picnic.
14,"DIANA: In six months this nonsense in Europe will be over and we won’t hear another blessed word about war.  Anne, we’re going to have a fabulous holiday together.",DIANA,"In six months this nonsense in Europe will be over and we won’t hear another blessed word about war.  Anne, we’re going to have a fabulous holiday together."
15,ANNE: Just like old times.,ANNE,Just like old times.
16,DIANA: Yes.,DIANA,Yes.
17,     SCENE: Avonlea road,     SCENE,Avonlea road
18,"ANNE: Smell the air, Diana.  You won’t find that sweet smell in Halifax.",ANNE,"Smell the air, Diana.  You won’t find that sweet smell in Halifax."
19,DIANA: In your letters you sounded so happy about teaching in the Hopeton Orphanage.  It must have broken your heart to say goodbye to all your students after five years.,DIANA,In your letters you sounded so happy about teaching in the Hopeton Orphanage.  It must have broken your heart to say goodbye to all your students after five years.
20,"ANNE: Let’s go by Green Gables, Diana.  I’ve not been back since Marilla died.",ANNE,"Let’s go by Green Gables, Diana.  I’ve not been back since Marilla died."
21,DIANA: Imagine!  Sheep on the main street!  The man has sense at all.,DIANA,Imagine!  Sheep on the main street!  The man has sense at all.
22,ANNE: Stop it Diana; I’m dying to walk anyway.,ANNE,Stop it Diana; I’m dying to walk anyway.
23,"DIANA: No, Anne!",DIANA,"No, Anne!"
24,"ANNE: [to Alan] You know Anne, Alan.   She’s so ridiculously impulsive.  Pull the car around to Green Gables farm, Alan.  She’ll just be a moment.",ANNE,"[to Alan] You know Anne, Alan.   She’s so ridiculously impulsive.  Pull the car around to Green Gables farm, Alan.  She’ll just be a moment."
25,"DIANA’S DRIVER: Yes, ma’am. ",DIANA’S DRIVER,"Yes, ma’am. "
26,DIANA: Anne!  Anne!  Wait!  Wait!,DIANA,Anne!  Anne!  Wait!  Wait!
27,     SCENE: Green Gables,     SCENE,Green Gables
28,"DIANA: Anne, Anne!  Wait, wait, wait!  I broke my heel.  I should have warned you.  Mr. Harrison’s really let the place run down.  He rented it out.",DIANA,"Anne, Anne!  Wait, wait, wait!  I broke my heel.  I should have warned you.  Mr. Harrison’s really let the place run down.  He rented it out."
29,ANNE: Marilla and Matthew would be heartbroken at this site.,ANNE,Marilla and Matthew would be heartbroken at this site.
30,BOY: Hey move it!,BOY,Hey move it!
31,B2: Watch out!,B2,Watch out!
32,GIRL: Get out of the way!,GIRL,Get out of the way!
33,"WOMAN: Get back in here, now!  [to Anne and Diana] You two want something?",WOMAN,"Get back in here, now!  [to Anne and Diana] You two want something?"
34,ANNE: I was raised in this house.  It was a beautiful home once.,ANNE,I was raised in this house.  It was a beautiful home once.
35,WOMAN: This dump?,WOMAN,This dump?
36,ANNE: You’ve no respect for the lives that have been lived here.,ANNE,You’ve no respect for the lives that have been lived here.
37,WOMAN: Do us both a favor and scat.,WOMAN,Do us both a favor and scat.
38,"DIANA: [restraining Anne] Anne, Anne.  Let it go.  There’s nothing you could have done.",DIANA,"[restraining Anne] Anne, Anne.  Let it go.  There’s nothing you could have done."
39,ANNE:  Mr. Harrison’s going to get a tongue lashing from me when I see him next.  Those were Marilla’s June lilies.  They were beautiful once. [Anne and Diana get chased by a dog] Give me your shoe! Give me your shoe!,ANNE, Mr. Harrison’s going to get a tongue lashing from me when I see him next.  Those were Marilla’s June lilies.  They were beautiful once. [Anne and Diana get chased by a dog] Give me your shoe! Give me your shoe!
40,DIANA: What? ,DIANA,What? 
41,ANNE: [Anne takes Diana’s shoe and hurls it at the dog]  Fetch!  ,ANNE,[Anne takes Diana’s shoe and hurls it at the dog]  Fetch!  
42,"DIANA: My gosh, Anne, that worked.  That was my favorite pair of shoes.",DIANA,"My gosh, Anne, that worked.  That was my favorite pair of shoes."
43,ANNE: I should have bought this place myself after Marilla died.  I should have taken every penny I earned from my book and from my magazine articles and made this place mine.,ANNE,I should have bought this place myself after Marilla died.  I should have taken every penny I earned from my book and from my magazine articles and made this place mine.
